website_url,county_name
https://beacon.schneidercorp.com/Application.aspx?AppID=1034,Adair County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1136,Adams County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=78,Allamakee County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=165,Ames IA
https://beacon.schneidercorp.com/Application.aspx?AppID=96,Audubon County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=83,Benton County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1110,Black Hawk County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=84,Boone County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=330,Bremer County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1056,Buchanan County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1015,Buena Vista County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1300,Butler County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=215,Cass County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1233,Cedar County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=408,Cerro Gordo County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=501,Cherokee County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=47,Chickasaw County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1251,City of Audubon IA
https://beacon.schneidercorp.com/Application.aspx?AppID=933,City of Cascade IA
https://beacon.schneidercorp.com/Application.aspx?AppID=516,City of Estherville IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1230,City of Fort Dodge IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1155,City of New Hampton IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1182,City of Newton IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1061,City of Sigourney IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1202,City of Washington IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1043,Clay County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=227,Clayton County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=375,Clinton County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=909,Dallas County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=49,Davis County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=72,Delaware County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=376,Dickinson County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=93,Dubuque County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=15,Emmet County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=79,Fayette County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=150,Franklin County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=825,Fremont County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1064,Greene County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=3,Grundy County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=395,Guthrie County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1186,Hamilton County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=140,Hardin County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=44,Harrison County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=60,Henry County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=617,Humboldt County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1236,Ida County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1126,Iowa County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=80,Jackson County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=325,Jasper County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1037,Jefferson County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=86,Johnson County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=164,Jones County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=81,Keokuk County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=177,Lee County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=54,Louisa County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=594,Lyon County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=406,Madison County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=25,Mahaska County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=70,Marion County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1026,Marshall County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=410,Mason City IA
https://beacon.schneidercorp.com/Application.aspx?AppID=153,Mills County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=929,Mitchell County  IA
https://beacon.schneidercorp.com/Application.aspx?AppID=21,Montgomery County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=12,Muscatine Area Geographic Information Consortium (MAGIC)
https://beacon.schneidercorp.com/Application.aspx?AppID=611,Osceola County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=220,Page County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=218,Palo Alto County IA
https://beacon.schneidercorp.com/Application.aspx?AppID=1012,Plymouth County  IA
